注文ID,注文日,顧客名,地域,商品,数量,単価,割引率,生年月日
O001,2026-01-05,ハウル,東京,ノートパソコン,2,1000000,0.10,1998-03-15
O002,2026-01-12,アシタカ,大阪,モニター,3,300000,0.05,2008-07-20
O003,2026-02-03,千尋,東京,キーボード,5,50000,0.00,2016-01-10
O004,2026-02-15,パズー,埼玉,ノートパソコン,1,1200000,0.15,2013-11-05
O005,2026-03-02,ナウシカ,横浜,マウス,10,30000,0.10,2009-05-25
O006,2026-03-18,ソフィー,大阪,モニター,2,350000,0.05,2008-09-12
O007,2026-04-01,キキ,東京,タブレット,2,700000,0.20,2013-02-18
O008,2026-04-10,翔,埼玉,ノートパソコン,3,1100000,0.10,2014-06-30
O009,2026-05-07,サン,横浜,キーボード,8,60000,0.00,2009-12-01
O010,2026-05-20,宗介,東京,マウス,15,25000,0.05,2021-08-22
